#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
,frag.10000.spv (f068e5ca95fe49ea),,,,,,,,
1,; SPIR-V,,,,,,,,0,,,
2,; Version: 1.5,,,,,,,,0,,,
3,; Generator: Khronos Glslang Reference Front End; 11,,,,,,,,0,,,
4,; Bound: 1304,,,,,,,,0,,,
5,; Schema: 0,,,,,,,,0,,,
6,OpCapability Shader,,,,,,,,0,,,
7,"OpExtension ""SPV_KHR_non_semantic_info""",,,,,,,,0,,,
8,"%1 = OpExtInstImport ""NonSemantic.Shader.DebugInfo.100""",,,,,,,,0,,,
9,"%4 = OpExtInstImport ""GLSL.std.450""",,,,,,,,0,,,
10,OpMemoryModel Logical GLSL450,,,,,,,,0,,,
11,"OpEntryPoint Fragment %main ""main"" %_ %__0 %__1 %panelPos %pc %outColor",,,,,,,,0,,,
12,OpExecutionMode %main OriginUpperLeft,,,,,,,,0,,,
13,"%2 = OpString ""/home/cris/Documents/anoptic-engine/resources/shaders/textworld.frag""",,,,,,,,0,,,
14,"%3 = OpString ""/home/cris/Documents/anoptic-engine/resources/shaders/textcoverage.glsl""",,,,,,,,0,,,
15,"%9 = OpString ""uint""",,,,,,,,0,,,
16,"%18 = OpString ""float""",,,,,,,,0,,,
17,"%31 = OpString ""solve_mono""",,,,,,,,0,,,
18,"%34 = OpString ""// Scanline Sweeper coverage math shared by textraster.comp and textworld.frag.",,,,,,,,0,,,
19,// Mirrors src/text/text_raster_ref.c statement for statement. Declares the three,,,,,,,,0,,,
20,"// glyph-data buffers (set 0, bindings 0/1/2). The including shader adds its own extras.",,,,,,,,0,,,
21,,,,,,,,,0,,,
22,// Mirrors AnoGlyphEntry (32 B).,,,,,,,,0,,,
23,struct GlyphEntry {,,,,,,,,0,,,
24,uint  pointOffset;,,,,,,,,0,,,
25,uint  curveCount;,,,,,,,,0,,,
26,vec2  bboxMin;,,,,,,,,0,,,
27,vec2  bboxMax;,,,,,,,,0,,,
28,float advance;,,,,,,,,0,,,
29,uint  flags;,,,,,,,,0,,,
30,};,,,,,,,,0,,,
31,,,,,,,,,0,,,
32,"// Mirrors AnoGlyphInstance, 48 B. Offsets pinned by static_asserts in anoptic_text.h.",,,,,,,,0,,,
33,struct GlyphInstance {,,,,,,,,0,,,
34,"vec4 inv;     // 2x2 pixel->em inverse, rows: em = (dot(inv.xy,d), dot(inv.zw,d))",,,,,,,,0,,,
35,vec4 color;   // premultiplied linear RGBA,,,,,,,,0,,,
36,"vec2 origin;  // baseline pen, text-space pixels (y-down)",,,,,,,,0,,,
37,uint glyphID;,,,,,,,,0,,,
38,uint flags;,,,,,,,,0,,,
39,};,,,,,,,,0,,,
40,,,,,,,,,0,,,
41,"layout(std430, set = 0, binding = 0) readonly buffer CurvePoints { uint points[]; };",,,,,,,,0,,,
42,"layout(std430, set = 0, binding = 1) readonly buffer GlyphDirectory { GlyphEntry glyphs[]; };",,,,,,,,0,,,
43,"layout(std430, set = 0, binding = 2) readonly buffer FrameData { GlyphInstance instances[]; };",,,,,,,,0,,,
44,,,,,,,,,0,,,
45,const uint SENTINEL = 0x7C007C00u; // contour separator: both halves +inf,,,,,,,,0,,,
46,,,,,,,,,0,,,
47,"// Single root of a monotone quadratic component hitting `target`, clamped to [0,1],",,,,,,,,0,,,
48,// citardauq form 2c/(-b - sign(span)*sqrt(d)).,,,,,,,,0,,,
49,"float solve_mono(float c0, float c1, float c2, float target)",,,,,,,,0,,,
50,{,,,,,,,,0,,,
51,float span = c2 - c0;,,,,,,,,0,,,
52,float a = c0 - 2.0 * c1 + c2;,,,,,,,,0,,,
53,float b = 2.0 * (c1 - c0);,,,,,,,,0,,,
54,float c = c0 - target;,,,,,,,,0,,,
55,"float d = max(b * b - 4.0 * a * c, 0.0);",,,,,,,,0,,,
56,float den = -b - (span < 0.0 ? -sqrt(d) : sqrt(d));,,,,,,,,0,,,
57,if (den == 0.0),,,,,,,,0,,,
58,return 0.0;,,,,,,,,0,,,
59,"return clamp(2.0 * c / den, 0.0, 1.0);",,,,,,,,0,,,
60,},,,,,,,,0,,,
61,,,,,,,,,0,,,
62,"// Signed area swept between one monotone quad and the window's right edge, clipped to",,,,,,,,0,,,
63,"// [0,w]x[0,h]. Curve coordinates arrive window-local. Mirrors curve_area() in text_raster_ref.c.",,,,,,,,0,,,
64,"float curve_area(float x0, float y0, float x1, float y1, float x2, float y2,",,,,,,,,0,,,
65,"float w, float h)",,,,,,,,0,,,
66,{,,,,,,,,0,,,
67,if (y0 == y2),,,,,,,,0,,,
68,return 0.0;,,,,,,,,0,,,
69,"if (max(y0, y2) <= 0.0 || min(y0, y2) >= h || min(x0, x2) >= w)",,,,,,,,0,,,
70,return 0.0;,,,,,,,,0,,,
71,,,,,,,,,0,,,
72,if (x0 == x2),,,,,,,,0,,,
73,{,,,,,,,,0,,,
74,"float b = min(w, w - x0);",,,,,,,,0,,,
75,"return (clamp(y2, 0.0, h) - clamp(y0, 0.0, h)) * b;",,,,,,,,0,,,
76,},,,,,,,,0,,,
77,,,,,,,,,0,,,
78,"float t0 = solve_mono(y0, y1, y2, 0.0);",,,,,,,,0,,,
79,"float t1 = solve_mono(y0, y1, y2, h);",,,,,,,,0,,,
80,if (t0 > t1),,,,,,,,0,,,
81,{,,,,,,,,0,,,
82,float tmp = t0;,,,,,,,,0,,,
83,t0 = t1;,,,,,,,,0,,,
84,t1 = tmp;,,,,,,,,0,,,
85,},,,,,,,,0,,,
86,"float ta = clamp(solve_mono(x0, x1, x2, 0.0), t0, t1);",,,,,,,,0,,,
87,"float tb = clamp(solve_mono(x0, x1, x2, w), t0, t1);",,,,,,,,0,,,
88,if (ta > tb),,,,,,,,0,,,
89,{,,,,,,,,0,,,
90,float tmp = ta;,,,,,,,,0,,,
91,ta = tb;,,,,,,,,0,,,
92,tb = tmp;,,,,,,,,0,,,
93,},,,,,,,,0,,,
94,,,,,,,,,0,,,
95,"float ax = x0 - 2.0 * x1 + x2, bx = 2.0 * (x1 - x0);",,,,,,,,0,,,
96,"float ay = y0 - 2.0 * y1 + y2, by = 2.0 * (y1 - y0);",,,,,,,,0,,,
97,"float xs = clamp((ax * t0 + bx) * t0 + x0, 0.0, w);",,,,,,,,0,,,
98,"float ys = clamp((ay * t0 + by) * t0 + y0, 0.0, h);",,,,,,,,0,,,
99,float area = 0.0;,,,,,,,,0,,,
100,"float ends[3] = float[3](ta, tb, t1);",,,,,,,,0,,,
101,for (int k = 0; k < 3; k++),,,,,,,,0,,,
102,{,,,,,,,,0,,,
103,float te = ends[k];,,,,,,,,0,,,
104,"float xe = clamp((ax * te + bx) * te + x0, 0.0, w);",,,,,,,,0,,,
105,"float ye = clamp((ay * te + by) * te + y0, 0.0, h);",,,,,,,,0,,,
106,area += (ye - ys) * (2.0 * w - xs - xe) * 0.5;,,,,,,,,0,,,
107,xs = xe;,,,,,,,,0,,,
108,ys = ye;,,,,,,,,0,,,
109,},,,,,,,,0,,,
110,return area;,,,,,,,,0,,,
111,},,,,,,,,0,,,
112,,,,,,,,,0,,,
113,"// Unclamped coverage sum for one em-space window at wpos, size wdim: one stream walk",,,,,,,,0,,,
114,"// (grammar in anoptic_text.h), normalized by window area. Mirrors ano_text_window_sum().",,,,,,,,0,,,
115,"float window_sum(GlyphEntry g, vec2 wpos, vec2 wdim)",,,,,,,,0,,,
116,{,,,,,,,,0,,,
117,uint i = g.pointOffset;,,,,,,,,0,,,
118,vec2 p0 = unpackHalf2x16(points[i]) - wpos;,,,,,,,,0,,,
119,i++;,,,,,,,,0,,,
120,float area = 0.0;,,,,,,,,0,,,
121,for (uint c = 0u; c < g.curveCount; c++),,,,,,,,0,,,
122,{,,,,,,,,0,,,
123,if (points[i] == SENTINEL) // contour restart,,,,,,,,0,,,
124,{,,,,,,,,0,,,
125,i++;,,,,,,,,0,,,
126,p0 = unpackHalf2x16(points[i]) - wpos;,,,,,,,,0,,,
127,i++;,,,,,,,,0,,,
128,},,,,,,,,0,,,
129,vec2 p1 = unpackHalf2x16(points[i]) - wpos;,,,,,,,,0,,,
130,i++;,,,,,,,,0,,,
131,vec2 p2 = unpackHalf2x16(points[i]) - wpos;,,,,,,,,0,,,
